strategy,trend_window_months,signal_lag_months,transaction_cost_bps,sample_start,sample_end,months,risk_adjusted_months,cumulative_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,Calmar,hit_rate,avg_monthly_turnover,CAGR_vs_10m,CAGR_vs_balanced_60_40,correlation_vs_10m,avg_weight_distance_vs_10m,same_weight_month_fraction_vs_10m
AlphaCore_net_trend_9m,9,1,10,2006-02-28,2026-05-31,244,244,5.039534599215104,0.09247122536817187,0.08290419193049087,0.9045137502475243,1.515530249930231,-0.14910850284339072,0.6201606454683191,0.6516393442622951,0.2129098360655738,0.008432884813963648,0.011554768865000842,0.9728674589851096,0.01762295081967213,0.9385245901639344
AlphaCore_net_trend_10m,10,1,10,2006-02-28,2026-05-31,244,244,4.159105415843307,0.08403834055420822,0.082126353220901,0.8182314200045223,1.3442818470745643,-0.14910850284339072,0.5636052871007232,0.6352459016393442,0.2192622950819672,0.0,0.0031218840510371937,1.0,0.0,1.0
AlphaCore_net_trend_11m,11,1,10,2006-02-28,2026-05-31,244,244,4.184730296677148,0.08430252065416366,0.0829879847166596,0.8147129763149614,1.3454993186303406,-0.15973103785242404,0.5277779559164387,0.6311475409836066,0.208094262295082,0.00026418009995543557,0.0033860641509926293,0.9877975954329364,0.014549180327868854,0.9467213114754098
