strategy,months,risk_adjusted_months,cumulative_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,Calmar,hit_rate,avg_monthly_turnover
SPY,244,244,7.42350825258039,0.11049357313939634,0.15151399130689136,0.6582067305142066,0.9845871624870748,-0.5078482192613465,0.21757204012668724,0.6721311475409836,
SHY_cash,244,244,0.4903512382280897,0.019817339415960644,0.01496334896822958,0.19215037156090806,0.28086815150708916,-0.05362141062478698,0.3695788526458478,0.6639344262295082,
balanced_60_40,244,244,3.8652663394589144,0.08091645650317103,0.09693567998776809,0.6775882935296645,1.0124875873009347,-0.32315287415946137,0.2503968337389517,0.6762295081967213,
equal_weight,244,244,2.9667504936941773,0.07011690257649272,0.09366752968511949,0.5914788184930856,0.8773406904665518,-0.29454840608320976,0.23804882704639296,0.6270491803278688,
AlphaCore_gross,244,244,4.440896573881308,0.08687729138932498,0.08210671326451838,0.8503747898018573,1.406018895079889,-0.1468542770768666,0.5915884311891821,0.6475409836065574,
AlphaCore_net,244,244,4.159105415843307,0.08403834055420822,0.082126353220901,0.8182314200045223,1.3442818470745643,-0.14910850284339072,0.5636052871007232,0.6352459016393442,0.2192622950819672
