Date,AlphaCore_net,SPY,balanced_60_40,equal_weight,SHY_cash
2008-12-31,0.08356622176646084,0.00979639391744258,0.03252719921876124,0.06334014843865574,0.005630276187619243
2020-07-31,0.06564481419782917,0.0588920555279957,0.040667983500470406,0.04517502541352816,0.0009353937208687046
2020-11-30,0.06547831395764828,0.10877645853978102,0.07009291901368728,0.057326358726971643,0.00021948893956724724
2009-11-30,0.06262832201046492,0.06160699251397439,0.04210906378289225,0.04843847976119344,0.005965780645310614
2010-03-31,0.05958844037948034,0.060879374264013686,0.036501239610055955,0.031079885180990526,-0.0026916941025088015
2021-10-31,0.05557784461856625,0.0701634408956806,0.04206306465083394,0.032017915264902025,-0.003354772276346396
2018-01-31,0.05143791511190899,0.056359025227358917,0.029315185831698495,0.020750380151840123,-0.002861616189632321
2025-09-30,0.047367875967018476,0.035620412937162005,0.02587931681014126,0.03365233779448638,0.0028770444445032073
2007-09-30,0.045341934265255394,0.038713873914345553,0.025759862353459572,0.04669011304482433,0.005517723864762569
2007-10-31,0.04438709817513526,0.013566646693907725,0.012171634595746817,0.04222720769577613,0.004780023126760513
