strategy,benchmark,beta,alpha_annualized,correlation,tracking_error,information_ratio,upside_capture_geometric,downside_capture_geometric,up_months,down_months,avg_strategy_up_month_return,avg_benchmark_up_month_return,average_upside_capture,avg_strategy_down_month_return,avg_benchmark_down_month_return,average_downside_capture
AlphaCore_net,SPY,0.30792952881130337,0.036554043007703894,0.5671692500661821,0.12484519518659405,-0.2602710054533671,0.07201521719287077,0.6996808061468127,164,79,0.017084381742213488,0.03330542236598602,0.5129609693724027,-0.01373747895562798,-0.03907563473789142,0.3515612490436867
AlphaCore_gross,SPY,0.30806533597096464,0.03917164111613625,0.5675172002840877,0.1248111192672475,-0.23926102987916642,0.07463876634429858,0.6929992829493229,164,79,0.01729185125440861,0.03330542236598602,0.5191902707130457,-0.013495390348033043,-0.03907563473789142,0.34536586388311796
balanced_60_40,SPY,0.6293588100402551,0.002938027655779738,0.9834288890864282,0.058868969609583335,-0.5782454444965184,0.15723643045162283,0.8891150046000553,164,79,0.021703619920972594,0.03330542236598602,0.65165424664117,-0.02371013881665897,-0.03907563473789142,0.6067755258666951
equal_weight,SPY,0.5258501830497654,0.002871226598681535,0.8513858671683956,0.08697389961791228,-0.5108950392987149,0.08809227233466711,0.8227188770783929,164,79,0.018281367591882702,0.03330542236598602,0.5489006381901644,-0.01918848811008147,-0.03907563473789142,0.49106017698221804
SHY_cash,SPY,-0.010165185064836558,0.0037257079938476626,-0.10183156422671351,0.15375996749966542,-0.6312313847856023,0.0012909563821113293,-0.1894890960620995,164,79,0.001435216585683398,0.03330542236598602,0.04309258023850039,0.0021300350045329827,-0.03907563473789142,-0.05451056697659987
