Date,SPY,SHY_cash,balanced_60_40,equal_weight,AlphaCore_gross,AlphaCore_net
2006,0.13128569823050862,0.0371304223317106,0.09408192152047601,0.0999472906189316,0.0371304223317106,0.0371304223317106
2007,0.05146249261066682,0.07352511886184354,0.05866764356717469,0.13155899527947845,0.12585160925074312,0.12280450182620184
2008,-0.36795020542651,0.06622641326656953,-0.21121163982380486,-0.17342585586430403,0.14903799169767007,0.145422479707904
2009,0.2635174622435714,0.0035267978043416193,0.1696650863509812,0.19591623529372693,0.06663471433029189,0.06273363428360423
2010,0.15056211090585836,0.02279614778322081,0.12050277950310306,0.15022224076756774,0.006257822911616584,0.002824431225540991
2011,0.01894982534200973,0.014404546811712882,0.04499388634533319,0.04762253429156704,0.03453084511730631,0.031470589982180996
2012,0.1599032409701473,0.002502480497511117,0.11110077457064538,0.10347405626522477,0.095828245616016,0.0924465534952379
2013,0.323077695326349,0.0021461650913396912,0.17532435495984955,0.017152928320987026,0.20881726004730283,0.20709377397314266
2014,0.13463820355186118,0.004470324705144746,0.10502376920323231,0.05126378539885312,0.1310071044421508,0.12897904131670157
2015,0.012342939901843542,0.004298109734108824,0.011654636127355289,-0.03643880763286833,-0.042533677958988214,-0.04664625701287006
2016,0.11997859199698757,0.008225848326483876,0.08229764948388141,0.07033266575845709,-0.006224168438926703,-0.01078053545413804
2017,0.2170544995338355,0.0026269552719095923,0.14144286417383656,0.13615016198839336,0.21400733858306942,0.2132328799371248
2018,-0.04569046178860259,0.014632177599723795,-0.023313369029383746,-0.04396264145260609,-0.008545534022392554,-0.010381958681576431
2019,0.3122390374631516,0.03380726579248727,0.2193152505079745,0.1860473939185705,0.12081830866538978,0.1170346422846027
2020,0.18331601353600258,0.030341075146715024,0.146553577405665,0.1344526586172683,0.225144850270804,0.2214156029551999
2021,0.28728784803356366,-0.00715606270855329,0.15767568095771378,0.1113587411906436,0.19700256050023368,0.19548256860225566
2022,-0.18175367979930945,-0.03880073059464839,-0.15831574824450345,-0.14603668080961496,-0.1399238512106944,-0.14219638890698705
2023,0.26175776159269404,0.04163684564923731,0.17658301730974446,0.1262259557329728,0.08667015045278448,0.08309076063749288
2024,0.24886476082080145,0.03913854841840858,0.14996871032037462,0.08069174470532436,0.17410275370952943,0.17326396628474816
2025,0.1771906130702341,0.049503133688557854,0.13559272821113377,0.17794575499851484,0.15935151245998425,0.15603273495168213
2026,0.08722321764169694,0.004508711075471794,0.0546285873687844,0.10563890213482452,0.017899761840052042,0.01602547013080846
