strategy,transaction_cost_bps,months,risk_adjusted_months,cumulative_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,Calmar,hit_rate,CAGR_vs_balanced_60_40,avg_monthly_turnover
AlphaCore_net_10bps,10,244,244,4.159105415843307,0.08403834055420822,0.082126353220901,0.8182314200045223,1.3442818470745643,-0.14910850284339072,0.5636052871007232,0.6352459016393442,0.0031218840510371937,0.2192622950819672
AlphaCore_net_25bps,25,244,244,3.763309324717487,0.07979118146812558,0.0821727047437792,0.7698785690038223,1.2527531280589521,-0.15248046468921117,0.5232878954740702,0.6352459016393442,-0.0011252750350454477,0.2192622950819672
AlphaCore_net_50bps,50,244,244,3.169416404935518,0.07274254506806832,0.08229490770323145,0.6890124599667169,1.1032324535974565,-0.15807547167617308,0.4601760431060785,0.6311475409836066,-0.00817391143510271,0.2192622950819672
