start_year,sample_start,sample_end,months,AlphaCore_CAGR,balanced_60_40_CAGR,CAGR_spread,AlphaCore_Sharpe,balanced_60_40_Sharpe,Sharpe_spread,AlphaCore_max_drawdown,balanced_60_40_max_drawdown,drawdown_improvement,AlphaCore_Calmar,balanced_60_40_Calmar
2006,2006-02-28,2026-05-31,244,0.08403834055420822,0.08091645650317103,0.0031218840510371937,0.8182314200045223,0.6775882935296645,0.14064312647485777,-0.14910850284339072,-0.32315287415946137,0.17404437131607065,0.5636052871007232,0.2503968337389517
2007,2007-01-31,2026-05-31,233,0.08616259024968409,0.07988203119392945,0.006280559055754642,0.8437939310459569,0.6713966432433355,0.17239728780262142,-0.14910850284339072,-0.3231528741594617,0.17404437131607098,0.5778516221853627,0.24719579363701152
2008,2008-01-31,2026-05-31,221,0.08420756946714159,0.08104603565394597,0.003161533813195616,0.838999711139055,0.6872765024117926,0.15172320872726242,-0.1491085028433906,-0.2969138570173374,0.1478053541739468,0.5647402251472219,0.2729614456802315
2009,2009-01-31,2026-05-31,209,0.08079386159586299,0.10078762707826572,-0.019993765482402726,0.805886424783721,0.9074461073458332,-0.10155968256211223,-0.1491085028433906,-0.2004603332806114,0.0513518304372208,0.5418461057228988,0.502780901482288
2010,2010-01-31,2026-05-31,197,0.08190384179425547,0.09672558929704778,-0.014821747502792304,0.8280167300007117,0.8903974293874181,-0.06238069938670632,-0.14910850284339072,-0.20046033328061164,0.05135183043722091,0.5492902164022089,0.4825173525060831
2011,2011-01-31,2026-05-31,185,0.08724358175356417,0.09520082690230258,-0.007957245148738412,0.9044485864937902,0.8727874584883867,0.03166112800540355,-0.14910850284339094,-0.20046033328061175,0.0513518304372208,0.5851013194411612,0.4749110477085607
2012,2012-01-31,2026-05-31,173,0.09122224632884923,0.09877154917446807,-0.007549302845618833,0.9250179528367356,0.8961062152464324,0.028911737590303188,-0.1491085028433905,-0.2004603332806114,0.05135183043722091,0.6117843354960144,0.4927236603772587
2013,2013-01-31,2026-05-31,161,0.09113104858454935,0.09785809807829127,-0.006727049493741921,0.8937868135270125,0.8573318689491177,0.03645494457789478,-0.14910850284339083,-0.20046033328061164,0.0513518304372208,0.6111727154840029,0.4881668930546272
2014,2014-01-31,2026-05-31,149,0.082291468785475,0.09184600356106576,-0.009554534775590762,0.7739289223850375,0.7681789678248028,0.005749954560234749,-0.14910850284339083,-0.2004603332806114,0.05135183043722058,0.5518898467641782,0.45817545076360067
2015,2015-01-31,2026-05-31,137,0.07829518943635883,0.09069925930563238,-0.01240406986927356,0.7097939728161802,0.7204484978262486,-0.010654525010068472,-0.1491085028433906,-0.20046033328061152,0.05135183043722091,0.5250886967766865,0.45245489629446206
2016,2016-01-31,2026-05-31,125,0.09111893509594382,0.09860507635510452,-0.007486141259160695,0.82297778220225,0.7629585926582224,0.06001918954402763,-0.14910850284339072,-0.20046033328061152,0.0513518304372208,0.6110914760618743,0.4918932077054547
