Date,AlphaCore_net,SPY,balanced_60_40,equal_weight,SHY_cash
2009-01-31,-0.06842630323238842,-0.08211422821943692,-0.0572149059030818,-0.06302992849400552,-0.004370466358963876
2010-05-31,-0.05883913112749647,-0.07945414989364818,-0.043342896814369,-0.035252590527695186,0.004529398506498472
2026-03-31,-0.055927581931600905,-0.04937954609873141,-0.036805904685610444,-0.03426812240894097,-0.004665147853037399
2015-08-31,-0.0538364100603193,-0.06095006526588698,-0.03791327590213887,-0.030013435341355307,-0.0004947817364351348
2022-01-31,-0.05272886400896119,-0.05274133239647616,-0.039639239710749785,-0.026000139268186562,-0.006897256362275339
2018-10-31,-0.051753628567830265,-0.06910403046902924,-0.044038792123820135,-0.038682537439821064,0.0015311840429799162
2018-12-31,-0.04720438495325292,-0.08804855083579755,-0.044904477531762944,-0.0199242145720261,0.007598499580716789
2010-01-31,-0.03955490762178035,-0.036342338703811095,-0.01614611406541959,-0.027521368776656865,0.00795551873777689
2016-01-31,-0.038883904751534505,-0.04978680104875832,-0.024909680812809174,-0.012733647943567855,0.006519415298046782
2023-09-30,-0.03743146055466805,-0.04743451568540813,-0.03881908565189045,-0.037149909049245956,-0.0007895517648834893
