strategy,benchmark,beta,alpha_annualized,correlation,tracking_error,information_ratio,upside_capture_geometric,downside_capture_geometric,up_months,down_months,avg_strategy_up_month_return,avg_benchmark_up_month_return,average_upside_capture,avg_strategy_down_month_return,avg_benchmark_down_month_return,average_downside_capture
AlphaCore_net,balanced_60_40,0.5068220524939689,0.03396319016128357,0.5972452578065296,0.08143682297444275,0.018997904942760012,0.4660817001562583,0.798075123106007,165,79,0.017199458672945502,0.021692762831384733,0.7928662110324466,-0.01422151191997725,-0.024004467315553866,0.5924527186138523
AlphaCore_gross,balanced_60_40,0.5072969489484112,0.036563123264192615,0.5978893422787668,0.08136800393894944,0.051350363293013936,0.48358300902076956,0.79114768512413,165,79,0.01741233746082429,0.021692762831384733,0.8026795662760119,-0.01398891698326839,-0.024004467315553866,0.582763066531544
balanced_60_40,balanced_60_40,1.0000000000000002,-1.491433396267739e-17,0.9999999999999999,0.0,,1.0,1.0,165,79,0.021692762831384733,0.021692762831384733,1.0,-0.024004467315553866,-0.024004467315553866,1.0
equal_weight,balanced_60_40,0.8684698334199594,-0.0017484826254306894,0.9004832758336676,0.042636251230183754,-0.2437789454845897,0.5964084043622921,0.9427775764004565,165,79,0.018652239862238042,0.021692762831384733,0.8598369883642617,-0.020329210659415946,-0.024004467315553866,0.8468928050839724
SHY_cash,balanced_60_40,0.004438308390710128,0.002419805772698802,0.03274732822056621,0.09759830439155764,-0.6456813374301666,0.009344310257662972,-0.16447865024928005,165,79,0.0016280918932724275,0.021692762831384733,0.07505230688812635,0.0016830874862507233,-0.024004467315553866,-0.07011559407361458
