metric,iterations,block_length_months,seed,observed,bootstrap_mean,bootstrap_std,p2_5,median,p97_5,probability_positive
AlphaCore_CAGR,5000,12,42,0.08403834055420822,0.0845202555342337,0.019340528338509393,0.04673299373273769,0.08445502521111758,0.12206673351609097,
balanced_60_40_CAGR,5000,12,42,0.08091645650317103,0.08111305900036525,0.02366649831139783,0.031517891869227314,0.08242063504578656,0.12343601069050995,
CAGR_spread,5000,12,42,0.0031218840510371937,0.0034071965338684407,0.020098615856936106,-0.03137872104029442,0.001752144854060278,0.0476908239721831,0.5388
AlphaCore_Sharpe,5000,12,42,0.8182314200045223,0.8272747507156931,0.22544320270918322,0.39334114663517994,0.8212760359238912,1.2733666043393659,
balanced_60_40_Sharpe,5000,12,42,0.6775882935296645,0.6997430022106832,0.26747504770308833,0.188227835317931,0.6995583291055953,1.2318380898399068,
Sharpe_spread,5000,12,42,0.14064312647485777,0.12753174850500992,0.22099296297983695,-0.2743900886859911,0.11866446545145043,0.5895173739561044,0.7092
AlphaCore_max_drawdown,5000,12,42,-0.14910850284339072,-0.1518224770883515,0.04405424082798044,-0.25542900298921045,-0.1478659292219564,-0.08592666899351364,
balanced_60_40_max_drawdown,5000,12,42,-0.32315287415946137,-0.26049089641844164,0.09136664706127219,-0.4582466644663703,-0.2653732999160333,-0.11489416981116063,
drawdown_improvement,5000,12,42,0.17404437131607065,0.10866841933009014,0.09324239168010644,-0.04979588483210606,0.10968824114080977,0.3096546906926861,0.8878
